srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q11a,Q11b,Q12,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
32,'2','19','Centre-left','3','4','4','4','3','3','3','4','2','9.0','8.0','5.0','5.0','9.0','6.0','6.0','9.0','2','2','5','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','1.0'
275,'2','11','Centre-right','2','2','2','2','1','1','3','1','2','3.0','3.0','2.0','1.0','2.0','3.0','1.0','4.0','4','4','4','1','3.0',2.0,nan,'1.0','3.0','2.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','1.0'
1180,'2','-99','Centre-left','-99','4','3','4','3','3','3','3','2','2.0','2.0','2.0','2.0','3.0','2.0','2.0','2.0','4','4','4','4','2.0',2.0,nan,'4.0','4.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','3.0','3.0'
1600,'2','19','Centre-left','4','2','2','2','1','1','1','1','1','4.0','5.0','5.0','1.0','5.0','4.0','3.0','7.0','4','1','1','1','1.0',nan,2.0,'2.0','2.0','1.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','2.0'
840,'4','16','Centre-left','3','2','2','2','1','2','2','1','1','7.0','3.0','8.0','3.0','8.0','4.0','8.0','8.0','2','2','4','1','3.0',2.0,nan,'2.0','2.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','1.0','4.0','2.0'
1483,'2','11','Centre-right','3','4','3','2','2','2','3','2','2','8.0','7.0','6.0','1.0','5.0','5.0','3.0','7.0','2','2','2','2','nan',nan,nan,'nan','nan','nan','3.0','3.0','4.0','3.0','3.0','4.0','3.0','2.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','2.0'
3,'4','5','Centre-right','2','2','2','2','1','1','1','1','1','5.0','3.0','3.0','1.0','4.0','4.0','3.0','4.0','4','4','5','5','nan',nan,nan,'nan','nan','nan','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','2.0','3.0','3.0','3.0','3.0','1','2.0','3.0','3.0'
1635,'2','2','Centre-left','4','4','3','4','2','2','2','2','2','4.0','4.0','3.0','2.0','5.0','5.0','4.0','7.0','4','4','4','2','nan',nan,nan,'nan','nan','nan','2.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','3.0','2.0','3.0','3.0','3.0','3.0','1','1.0','3.0','2.0'
1604,'2','13','Centre-left','5','5','2','5','1','1','1','2','1','6.0','6.0','8.0','2.0','6.0','6.0','5.0','6.0','4','4','4','4','1.0',nan,2.0,'1.0','3.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','4.0','3.0'
21,'4','11','Centre-right','5','2','5','4','4','1','1','1','1','6.0','9.0','5.0','1.0','8.0','5.0','nan','9.0','1','1','3','1','2.0',2.0,nan,'2.0','1.0','3.0','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','nan','1','2.0','3.0','3.0'
