srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
275,'2','11','Centre-right','2','2','2','2','1','1','3','1','2','3.0','3.0','2.0','1.0','2.0','3.0','1.0','4.0','4','4','4','1','3.0','1.0','3.0','2.0','1','2.0','4.0','1.0'
1180,'2','-99','Centre-left','-99','4','3','4','3','3','3','3','2','2.0','2.0','2.0','2.0','3.0','2.0','2.0','2.0','4','4','4','4','2.0','4.0','4.0','3.0','1','2.0','3.0','3.0'
1600,'2','19','Centre-left','4','2','2','2','1','1','1','1','1','4.0','5.0','5.0','1.0','5.0','4.0','3.0','7.0','4','1','1','1','1.0','2.0','2.0','1.0','1','2.0','4.0','2.0'
840,'4','16','Centre-left','3','2','2','2','1','2','2','1','1','7.0','3.0','8.0','3.0','8.0','4.0','8.0','8.0','2','2','4','1','3.0','2.0','2.0','3.0','1','1.0','4.0','2.0'
1604,'2','13','Centre-left','5','5','2','5','1','1','1','2','1','6.0','6.0','8.0','2.0','6.0','6.0','5.0','6.0','4','4','4','4','1.0','1.0','3.0','3.0','1','2.0','4.0','3.0'
1789,'4','11','Green','4','3','3','3','2','2','2','2','1','5.0','5.0','5.0','1.0','8.0','5.0','2.0','5.0','4','4','4','2','3.0','3.0','3.0','3.0','1','2.0','3.0','3.0'
780,'2','16','Independent','2','3','2','2','2','2','1','3','2','6.0','6.0','6.0','1.0','6.0','1.0','1.0','8.0','2','4','4','2','1.0','2.0','3.0','-98.0','1','2.0','4.0','3.0'
859,'2','28','Independent','4','4','4','3','4','3','3','3','3','9.0','8.0','5.0','3.0','8.0','7.0','6.0','9.0','4','4','4','4','1.0','2.0','3.0','3.0','1','2.0','2.0','1.0'
733,'2','4','Centre-right','4','4','4','4','2','2','2','3','2','7.0','7.0','6.0','7.0','7.0','7.0','7.0','7.0','2','4','2','4','2.0','3.0','2.0','3.0','1','1.0','2.0','1.0'
2607,'2','16','Centre-right','3','3','3','2','2','2','2','2','1','7.0','7.0','6.0','6.0','8.0','6.0','6.0','7.0','2','4','4','1','1.0','2.0','3.0','2.0','1','2.0','4.0','3.0'
977,'4','11','Centre-left','3','2','3','2','2','2','1','2','1','2.0','2.0','1.0','1.0','3.0','1.0','2.0','5.0','5','5','5','1','1.0','1.0','2.0','3.0','1','2.0','4.0','1.0'
466,'4','13','Centre-right','4','4','5','2','3','2','3','3','1','5.0','5.0','2.0','2.0','8.0','3.0','7.0','2.0','2','4','4','2','2.0','2.0','2.0','3.0','1','2.0','4.0','3.0'
1271,'4','11','Independent','5','2','2','5','1','1','1','3','1','4.0','7.0','7.0','3.0','9.0','3.0','3.0','9.0','2','2','2','2','3.0','2.0','4.0','2.0','1','2.0','2.0','1.0'
656,'2','19','Centre-left','1','1','2','1','1','1','2','2','1','3.0','4.0','3.0','1.0','5.0','3.0','1.0','1.0','4','4','4','1','1.0','3.0','1.0','3.0','2','1.0','4.0','1.0'
1324,'1','1','Centre-right','5','4','5','5','1','1','3','1','3','10.0','4.0','4.0','4.0','8.0','6.0','4.0','5.0','4','5','4','2','2.0','1.0','2.0','3.0','2','1.0','4.0','3.0'
